associate_id,hire_date,tenure_months,employment_type,title,is_coordinator,key_access,performance_rating,termination_date,termination_reason
A001,2020-11-17,38,full_time,Beauty Coordinator,True,jewelry_case|perfume_case,3.8,,
A002,2019-02-26,59,full_time,Home Coordinator,True,,4.1,,
A003,2020-08-19,41,full_time,Mens & Kids Coordinator,True,,4.7,,
A004,2016-05-12,93,full_time,Womens Coordinator,True,,3.9,,
A005,2017-08-05,78,full_time,Backroom Coordinator,True,,3.8,,
A006,2021-02-15,35,full_time,Front End Coordinator,True,master_key|register_safe|returns_desk,4.1,,
A007,2023-09-03,4,part_time,Sales Associate,False,,4.1,,
A008,2016-08-10,90,part_time,Sales Associate,False,,4.1,,
A009,2017-10-04,76,part_time,Sales Associate,False,,3.6,,
A010,2022-04-11,21,part_time,Sales Associate,False,,4.4,,
A011,2022-05-11,20,part_time,Sales Associate,False,,3.4,,
A012,2023-09-03,4,part_time,Sales Associate,False,,3.1,,
A013,2019-12-23,49,part_time,Sales Associate,False,,3.2,,
A014,2017-08-05,78,part_time,Sales Associate,False,,3.5,,
A015,2019-02-26,59,part_time,Sales Associate,False,,4.1,,
A016,2019-12-23,49,full_time,Sales Associate,False,,3.2,,
A017,2017-05-07,81,part_time,Sales Associate,False,,4.2,,
A018,2017-12-03,74,part_time,Sales Associate,False,,3.4,,
A019,2017-01-07,85,part_time,Sales Associate,False,,3.5,,
A020,2023-02-05,11,part_time,Sales Associate,False,,4.7,,
A021,2019-12-23,49,part_time,Sales Associate,False,,3.6,,
A022,2020-02-21,47,part_time,Sales Associate,False,,3.3,,
A023,2016-12-08,86,part_time,Sales Associate,False,,3.5,,
A024,2017-03-08,83,part_time,Sales Associate,False,,3.1,,
A025,2018-05-02,69,part_time,Sales Associate,False,,4.5,,
A026,2019-12-23,49,part_time,Sales Associate,False,,3.5,,
A027,2016-09-09,89,part_time,Sales Associate,False,,4.1,,
A028,2023-05-06,8,part_time,Sales Associate,False,,3.5,,
A029,2020-08-19,41,part_time,Sales Associate,False,,3.8,,
A030,2018-01-02,73,part_time,Sales Associate,False,,4.8,,
A031,2017-02-06,84,part_time,Sales Associate,False,,4.0,,
A032,2017-03-08,83,part_time,Sales Associate,False,,3.9,,
A033,2021-05-16,32,part_time,Sales Associate,False,,4.5,,
A034,2016-02-12,96,part_time,Sales Associate,False,,4.2,,
A035,2019-09-24,52,part_time,Sales Associate,False,,3.7,,
A036,2022-07-10,18,full_time,Sales Associate,False,,4.0,,
A037,2023-06-05,7,part_time,Sales Associate,False,,4.7,,
A038,2022-04-11,21,part_time,Sales Associate,False,,4.6,,
A039,2023-04-06,9,part_time,Sales Associate,False,,3.8,,
A040,2019-01-27,60,part_time,Sales Associate,False,,4.1,,
